"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","Department: Aeronautics & Astronautics","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Primary Volume","","","","","","","","","","","","","","",""
"Supervisor: Balakrishnan /Hamsa","","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6917137","ECCS-0745","NSF","6917137","Career: Practical","02/01/2008","01/31/2014","44,550","9,242","2,588","40,402","40,233","137,015","400,000","400,000","0","6917137"
"","237","","","Algorithms For","","","","","","","","","","","",""
"","","","","Next Ge","","","","","","","","","","","",""
"6921266","00006900","University of","6921266","Modeling","09/15/2009","08/31/2014","52,935","11,926","3,339","55,296","52,487","175,983","750,000","618,447","131,553","6921266"
"","","California -","","Analysis And","","","","","","","","","","","",""
"","","Berkeley","","Control Of Distrib","","","","","","","","","","","",""
"6927688","CNS-12390","NSF","6927802","Cps: Frontiers:","01/15/2013","03/31/2015","23,814","10,048","2,813","22,782","21,197","80,654","260,000","87,969","172,031","6927802"
"","54","","","Forces - Hamsa","","","","","","","","","","","",""
"","","","","Balakrish","","","","","","","","","","","",""
"P061094","Leith-Aerofo5","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6924995","7000174664","Lincoln","6924995","Phase Ii:","11/01/2011","09/30/2014","24,447","18,138","5,079","29,702","33,735","111,101","252,445","259,201","-6,756","6924995"
"","","Laboratory","","Demonstration Of","","","","","","","","","","","",""
"","","","","Reduced Surfa","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","145,746","49,353","13,819","148,182","147,652","504,752","1,662,445","1,365,617","296,828",""
"Supervisor: Barnett /Arnold I","","","","","","","","","","","","","",""
"P061093","Lee-Aerofo4","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
