Primary Sponsor,Agreement Type,On Off Campus Status,No Accts,Graduate Students,Other Salaries,Employee Benefits,Operating Expenses,Indirect Expenses,FYTD Amount
000100 Air Force,Contracts,Off Campus,245,,"1,465,781","493,470","261,684","73,343","2,294,278"
000100 Air Force,Contracts,On Campus,514,"603,897","1,007,864","332,921","1,093,467","1,361,431","4,399,579"
000100 Air Force,Grants,On Campus,56,"119,541","79,411","27,399","97,570","124,159","448,081"
000100 Air Force,Total by Primary Sponsor,,815,"723,438","2,553,056","853,791","1,452,721","1,558,933","7,141,939"
"000106 Air Force Office of Scientific Research - AFOSR
Research - AFOSR",Contracts,On Campus,61,"95,581","61,675","21,974","149,907","143,206","472,344"
"000106 Air Force Office of Scientific Research - AFOSR
Research - AFOSR",Grants,On Campus,717,"1,469,204","1,811,860","593,322","3,341,802","2,736,481","9,952,668"
"000106 Air Force Office of Scientific Research - AFOSR
Research - AFOSR",Total by Primary Sponsor,,778,"1,564,785","1,873,535","615,295","3,491,709","2,879,687","10,425,012"
000108 Air Force Research Laboratory,Contracts,On Campus,66,"50,910","143,290","51,783","162,937","175,766","584,685"
000108 Air Force Research Laboratory,Grants,On Campus,117,"288,799","848,089","289,460","3,699,748","1,096,800","6,222,897"
000108 Air Force Research Laboratory,Total by Primary Sponsor,,183,"339,709","991,379","341,243","3,862,685","1,272,565","6,807,582"
000112 Air Force Surgeon General,Contracts,On Campus,37,0,0,0,"-1,446",0,"-1,446"
000112 Air Force Surgeon General,Total by Primary Sponsor,,37,0,0,0,"-1,446",0,"-1,446"
000113 Asian Office of Aerospace Research and Development,Grants,On Campus,38,"38,540","54,843","15,723","127,892","77,623","314,621"
000113 Asian Office of Aerospace Research and Development,Total by Primary Sponsor,,38,"38,540","54,843","15,723","127,892","77,623","314,621"
000120 Army,Contracts,On Campus,39,"63,607","66,799","22,108","91,493","109,705","353,712"
000120 Army,Grants,On Campus,226,"102,202","647,101","226,968","1,645,216","974,382","3,595,869"
000120 Army,Total by Primary Sponsor,,265,"165,808","713,900","249,076","1,736,709","1,084,087","3,949,581"
000123 Army Materiel - Miscellaneous,Grants,On Campus,8,"7,500","16,928","1,439","11,705","21,040","58,611"
000123 Army Materiel - Miscellaneous,Total by Primary Sponsor,,8,"7,500","16,928","1,439","11,705","21,040","58,611"
000124 Army Research Office,Contracts,On Campus,186,"207,046","118,221","40,956","635,438","362,934","1,364,596"
000124 Army Research Office,Grants,Off Campus,9,,"72,168","24,642","3,764","4,714","105,288"
000124 Army Research Office,Grants,On Campus,"1,014","932,324","2,218,663","744,260","10,006,827","2,938,817","16,840,890"
000124 Army Research Office,Total by Primary Sponsor,,"1,209","1,139,370","2,409,052","809,858","10,646,029","3,306,465","18,310,774"
000125 Army Corps of Engineers,Contracts,On Campus,37,"28,267","68,163","24,880","42,047","85,764","249,120"
000125 Army Corps of Engineers,Total by Primary Sponsor,,37,"28,267","68,163","24,880","42,047","85,764","249,120"
000129 Army RDECOM-Adelphi,Contracts,On Campus,7,0,"-1,846",-674,"4,426","1,068","2,974"
000129 Army RDECOM-Adelphi,Grants,On Campus,20,"37,811","34,133","11,881","47,225","65,164","196,213"
000129 Army RDECOM-Adelphi,Total by Primary Sponsor,,27,"37,811","32,287","11,207","51,651","66,232","199,187"
"000132 U.S. Army Medical Research and
Material Command",Contracts,On Campus,52,"8,653","36,038","12,925","64,670","77,268","199,555"
"000132 U.S. Army Medical Research and
Material Command",Grants,Off Campus,5,,0,0,0,0,0
"000132 U.S. Army Medical Research and
Material Command",Grants,On Campus,133,"279,564","1,336,696","460,929","1,247,449","1,723,805","5,048,444"
"000132 U.S. Army Medical Research and
Material Command",Total by Primary Sponsor,,190,"288,218","1,372,734","473,855","1,312,119","1,801,074","5,247,999"
000135 ARO-ISN UARC,Contracts,On Campus,"1,825","1,305,963","2,090,468","726,333","3,791,513","2,972,728","10,887,005"
