Architecture,On Campus,"$ 203,403","$ 130,366","$ 333,769","$ 1,253,542","$ 4,526,689","$ 3,085,972","$ 1,440,717"
Media Laboratory,On Campus,"2,194,587","3,312,895","5,507,482",,,,
Media Laboratory,Off Campus,-,"(25,190)","(25,190)",,,,
Media Laboratory,Total,"2,194,587","3,287,705","5,482,292","18,675,675","199,518,490","180,663,603","18,854,887"
School of Arch. & Planning,On Campus,-,"33,977","33,977","85,388","239,688","239,687",-
Urban Studies & Planning,On Campus,"185,703","907,654","1,093,357",,,,
Urban Studies & Planning,Off Campus,"11,626","31,079","42,705",,,,
Urban Studies & Planning,Total,"197,329","938,733","1,136,062","3,014,745","12,377,011","8,661,580","3,715,431"
On Campus Salary Total,,"2,583,693","4,384,892","6,968,585",,,,
Off Campus Salary Total,,"11,626","5,889","17,515",,,,
School of Architecture Totals,,"2,595,319","4,390,781","6,986,100","23,029,350","216,661,878","192,650,842","24,011,035"
Aeronautics & Astronautics,On Campus,"2,907,942","3,282,354","6,190,296",,,,
Aeronautics & Astronautics,Off Campus,"100,497","40,006","140,503",,,,
Aeronautics & Astronautics,Total,"3,008,439","3,322,360","6,330,799","19,583,007","91,194,060","73,154,854","18,039,207"
Biotechnology Process Engineering Center,On Campus,"15,568","81,572","97,140","870,109","5,275,135","4,599,706","675,429"
"Center for Tech, Policy & Ind Development",On Campus,"562,934","1,792,411","2,355,345","7,754,452","61,991,861","51,944,462","10,047,400"
Center for Transportation and Logistics,On Campus,"380,674","1,752,461","2,133,135",,,,
Center for Transportation and Logistics,Off Campus,"49,409","69,385","118,794",,,,
Center for Transportation and Logistics,Total,"430,083","1,821,846","2,251,929","8,271,411","63,760,657","37,658,085","26,102,572"
Chemical Engineering,On Campus,"2,372,806","5,794,174","8,166,980",,,,
Chemical Engineering,Off Campus,-,"30,360","30,360",,,,
Chemical Engineering,Total,"2,372,806","5,824,534","8,197,340","30,850,746","157,036,834","132,311,445","24,725,389"
