Architecture,On Campus,"$214,328 ","$194,800 ","$409,128 ","$962,582 ","$4,806,622 ","$4,048,554 ","$758,068 "
Architecture,Off Campus,-,"4,167","4,167","4,702",-,"4,702","-4,702"
Architecture,Total,"214,328","198,967","413,295","967,284","4,806,622","4,053,256","753,366"
Media Laboratory,On Campus,"2,117,403","3,839,306","5,956,709","19,519,485","187,944,936","188,788,061","-843,126"
Media Laboratory,Off Campus,-,"61,386","61,386","216,304","20,742,874","606,627","20,136,247"
Media Laboratory,Total,"2,117,403","3,900,692","6,018,095","19,735,789","208,687,810","189,394,688","19,293,121"
School of Arch. & Planning,On Campus,"2,467",-,"2,467","3,849","200,000","3,849","196,151"
Urban Studies & Planning,On Campus,"351,703","1,015,719","1,367,422","3,854,891","14,154,664","10,772,400","3,382,263"
Urban Studies & Planning,Off Campus,"8,748","7,894","16,642","20,619","233,567","292,862","-59,295"
Urban Studies & Planning,Total,"360,451","1,023,613","1,384,064","3,875,510","14,388,231","11,065,262","3,322,968"
On Campus Salary Total,,"2,685,901","5,049,825","7,735,726",,,,
Off Campus Salary Total,,"8,748","73,447","82,195",,,,
School of Architecture Totals,,"2,694,649","5,123,272","7,817,921","24,582,432","228,082,663","204,517,055","23,565,606"
Aeronautics & Astronautics,On Campus,"3,223,813","3,511,770","6,735,583","21,736,337","84,920,813","70,687,433","14,233,380"
Aeronautics & Astronautics,Off Campus,"104,131","119,542","223,673","274,016","1,144,965","934,816","210,149"
Aeronautics & Astronautics,Total,"3,327,944","3,631,312","6,959,256","22,010,353","86,065,778","71,622,249","14,443,529"
Artificial Intelligence Lab,On Campus,-,-,-,-,"675,568","675,568",-
Biological Engineering Division,On Campus,"1,319,405","4,310,467","5,629,872","29,778,015","100,856,927","83,931,576","16,925,351"
Biological Engineering Division,Off Campus,-,"5,780","5,780","8,139","506,284","83,780","422,504"
Biological Engineering Division,Total,"1,319,405","4,316,247","5,635,652","29,786,154","101,363,211","84,015,356","17,347,855"
Biotechnology Process Engineering Center,On Campus,"-4,608","18,059","13,450","717,785","1,688,009","1,455,831","232,178"
Biotechnology Process Engineering Center,Off Campus,-,-,-,,,-,-
