"","","","","","Primary and Secondary Volume Report by Supervisor","","","","","",""
"","","","","","","Department: Biology","","","","","","","",""
"","","","","","","Fiscal Period 201412","","","","","","","",""
"Primary Volume","","","","","","","","","","","","","","",""
"Supervisor: Baker /Tania","","","","","","","","","","","","","",""
"P151045","Biology-Baker","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6921812","5-R01-GM0","NIH","6921812","Protein","03/01/2010","04/30/2015","93,750","24,549","8,960","82,166","96,631","306,056","1,267,704","1,239,414","28,290","6921812"
"","49224-21","","","Recognition For","","","","","","","","","","","",""
"","","","","Remodeling And","","","","","","","","","","","",""
"","","","","D","","","","","","","","","","","",""
"","","","","","Supervisor Total:","","93,750","24,549","8,960","82,166","96,631","306,056","1,267,704","1,239,414","28,290",""
"Supervisor: Bell /Stephen P","","","","","","","","","","","","","",""
"P151001","Biology-Graduate","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
"Number","Number","","","","Date","Date","Staff","","","","","","","","Balance",""
"6922120","5-T32-GM0","NIH","6926119","Pre-Doctoral","07/01/2012","06/30/2013","","10,889","3,865","0","1,180","15,934","1,911,347","1,911,347","-0","6926119"
"","07287-38","","","Grant In The","","","","","","","","","","","",""
"","","","","Biological Sci","","","","","","","","","","","",""
"6922120","5-T32-GM0","NIH","6928214","Pre-Doctoral","07/01/2013","06/30/2014","","73,216","26,631","1,772,748","7,988","1,880,58","1,758,572","1,880,584","-122,012","6928214"
"","07287-39","","","Grant In The","","","","","","","","4","","","",""
"","","","","Biological Sci","","","","","","","","","","","",""
"6922120","5-T32-GM0","NIH","6928215","Pre-Doctoral","07/01/2013","06/30/2014","","","","","","0","72,265","0","72,265","6928215"
"","07287-39","","","Grant In The","","","","","","","","","","","",""
"","","","","Biological Sci","","","","","","","","","","","",""
"P151039","Biology-Bell","","","","","","","","","","","","","",""
"Master","Government","Sponsor","Project","Project Wbs","Project Wbs","Project Wbs","Graduate","Salaries","Employee","Operating","F&A","Fytd","Auth Total","Cumulative","Unexpend","Project"
"Project","Contract","Name","Wbs Id_2","Name_2","Effective","Expiration","Student","","Benefits","Expenses","Costs","Amount","","Amount","ed","Wbs Id"
