,,,,,Primary and Secondary Volume Report by Supervisor,,,,,,,
,,,,,,Department: Anthropology,,,,,,,,
,,,,,,Fiscal Period 201412,,,,,,,,,
Primary Volume,,,,,,,,,,,,,,,
Supervisor: Jones /Graham M,,,,,,,,,,,,,,
P093200,Anthropology Program,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,Amount,ed,Wbs Id
Number,Number,,,,Date,Date,Staff,,,,,,,,Balance,
6927956,BCS-12586,NSF,6927956,Moocs And The,06/15/2013,05/31/2016,"5,328","70,038","21,428","10,126","59,875","166,794","441,475","166,794","274,681",6927956
,40,,,Ethnography Of,,,,,,,,,,,,
,,,,Media Socia,,,,,,,,,,,,
,,,,,Supervisor Total:,,"5,328","70,038","21,428","10,126","59,875","166,794","441,475","166,794","274,681",
Supervisor: Silbey /Susan S,,,,,,,,,,,,,,
P093200,Anthropology Program,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,Amount,ed,Wbs Id
Number,Number,,,,Date,Date,Staff,,,,,,,,Balance,
6924600,SES-11237,NSF,6924600,Collaborative,09/15/2011,08/31/2014,,"8,054","2,940",,"6,651","17,644","58,641","58,640",1,6924600
,47,,,Research: Sbp:,,,,,,,,,,,,
,,,,From School,,,,,,,,,,,,
,,,,,Supervisor Total:,,,"8,054","2,940",,"6,651","17,644","58,641","58,640",1,
Supervisor: Walley /Christine,,,,,,,,,,,,,,
P093200,Anthropology Program,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,Amount,ed,Wbs Id
