,,,,,,Department: Profit & TDQM,,,,,,,,,
,,,,,,Fiscal Period 201412,,,,,,,,,
Primary Volume,,,,,,,,,,,,,,,,
Supervisor: Gupta /Amar,,,,,,,,,,,,,,,
P121110,Profit & Tdqm,,,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,,Amount,ed,Wbs Id
Number,Number,,,,Date,Date,Staff,,,,,,,,,Balance,
7774000,MEMO,Multi-Source,6455700,Multi Sponsored,05/09/1996,08/25/2004,,0,0,0,0,0,,"23,422","23,422",-0,6455700
,DATED,,,Industrial,,,,,,,,,,,,,
,5/9/96,,,,,,,,,,,,,,,,
,,,,,Supervisor Total:,,,0,0,0,0,0,,"23,422","23,422",-0,
Supervisor: Madnick /Stuart E,,,,,,,,,,,,,,,
P121110,Profit & Tdqm,,,,,,,,,,,,,,,
Master,Government,Sponsor,Project,Project Wbs,Project Wbs,Project Wbs,Graduate,Salaries,Employee,Operating,F&A,Fytd,,Auth Total,Cumulative,Unexpend,Project
Project,Contract,Name,Wbs Id_2,Name_2,Effective,Expiration,Student,,Benefits,Expenses,Costs,Amount,,,Amount,ed,Wbs Id
Number,Number,,,,Date,Date,Staff,,,,,,,,,Balance,
7774000,MEMO,Multi-Source,6455500,Multi Sponsored,05/09/1996,06/30/2014,,,,0,0,0,,"70,543","64,456","6,087",6455500
,DATED,,,Industrial,,,,,,,,,,,,,
,5/9/96,,,,,,,,,,,,,,,,
,,,,,Supervisor Total:,,,,,0,0,0,,"70,543","64,456","6,087",
,,,Primary Volume Total,,,,,0,0,0,0,0,"93,966","87,878","6,087",
,,,Primary and Secondary Volume Total,,,,0,0,0,0,0,"93,966","87,878","6,087",
,,,,,,"Page 1 of 1, Thursday, September 11, 2014",,,,,,,,,
,,,,,Primary and Secondary Volume Report by Supervisor,,,,,,
,,,,,,Department: SSM Academic,,,,,,,,
,,,,,,Fiscal Period 201412,,,,,,,,
Primary Volume,,,,,,,,,,,,,,,
Supervisor: Kacperczyk /Aleksandra,,,,,,,,,,,,,
