Architecture,On Campus,"129,986","454,544","584,530","1,645,667","5,038,634","3,060,056","1,978,578"
Media Laboratory,On Campus,"2,353,423","3,273,659","5,627,083",,,,
Media Laboratory,Off Campus,-,"18,750","18,750",,,,
Media Laboratory,Total,"2,353,423","3,292,409","5,645,833","16,661,037","169,488,825","154,303,727","15,185,099"
Urban Studies & Planning,On Campus,"202,832","372,431","575,263",,,,
Urban Studies & Planning,Off Campus,-,"33,048","33,048",,,,
Urban Studies & Planning,Total,"202,832","405,478","608,311","1,904,148","6,379,403","4,166,938","2,212,466"
On Campus Salary Total,,"2,686,241","4,100,634","6,786,876",,,,
Off Campus Salary Total,,-,"51,798","51,798",,,,
School of Architecture Totals,,"2,686,241","4,152,432","6,838,673","20,210,852","180,906,863","161,530,720","19,376,143"
Aeronautics & Astronautics,On Campus,"2,875,498","2,610,119","5,485,617",,,,
Aeronautics & Astronautics,Off Campus,"84,842","157,012","241,853",,,,
Aeronautics & Astronautics,Total,"2,960,340","2,767,130","5,727,470","17,357,372","76,136,113","57,547,612","18,588,501"
Biological Engineering Division,On Campus,"436,909","1,658,715","2,095,624",,,,
Biological Engineering Division,Off Campus,"10,575","49,397","59,972",,,,
Biological Engineering Division,Total,"447,484","1,708,111","2,155,596","12,238,308","46,393,484","39,941,675","6,451,809"
Biotechnology Process Engineering Center,On Campus,"-3,659","109,239","105,580","979,720","6,818,652","5,366,097","1,452,555"
"Center for Tech, Policy & Ind Development",On Campus,"240,851","1,235,486","1,476,337",,,,
"Center for Tech, Policy & Ind Development",Off Campus,"9,666","19,895","29,561",,,,
"Center for Tech, Policy & Ind Development",Total,"250,517","1,255,382","1,505,898","4,667,769","50,695,014","47,306,704","3,388,310"
Center for Transportation and Logistics,On Campus,"322,521","1,406,120","1,728,642",,,,
Center for Transportation and Logistics,Off Campus,-,"37,332","37,332",,,,
Center for Transportation and Logistics,Total,"322,521","1,443,453","1,765,974","5,864,888","51,283,373","35,175,563","16,107,811"
Chemical Engineering,On Campus,"2,621,764","3,982,297","6,604,060",,,,
Chemical Engineering,Off Campus,"10,575","84,817","95,392",,,,
Chemical Engineering,Total,"2,632,339","4,067,113","6,699,452","25,585,649","127,135,588","91,590,564","35,545,024"
Civil & Environmental Engineering,On Campus,"1,313,173","1,347,105","2,660,278",,,,
Civil & Environmental Engineering,Off Campus,"64,114",862,"64,976",,,,
Civil & Environmental Engineering,Total,"1,377,287","1,347,967","2,725,254","7,375,607","31,533,680","22,575,307","8,958,373"
Computer Science/Artificial Intelligence Lab,On Campus,"5,431,483","8,901,190","14,332,674",,,,
Computer Science/Artificial Intelligence Lab,Off Campus,"10,343","214,622","224,965",,,,
